"Tempo [s]","Numero di Codici di Errore","Stato MIL","Stato Misfire","Stato del test del sistema di alimentazione","Stato del test dei componenti","Stato del monitoraggio dell'iniezione","Stato del test del catalizzatore","Heated Cat / Nox Monitor test status","Stato del test del sistema evaporativo","Secondary air sys test status","Stato test refrigerante aria condizionata","Stato test Sensore Ossigeno","Stato test Riscaldamento Sensore Ossigeno","Stato test Sistema EGR","Stato Sistema Carburante 1","Stato Sistema Carburante 2","Valore calcolato del carico","Temperatura refrigerante","Short Term Fuel Trim (Bank 1)","Long Term Fuel Trim (Bank 1)","Pressione collettore di entrata","Giri motore","Velocità veicolo","Timing Advance (Cyl. #1)","Temperatura aria di entrata","Rateo flusso d'aria (sensore MAF)","Absolute Throttle Position","Sensori ossigeno presenti","O2 Sensor Voltage B1S1","O2 Sensor fuel trim B1S1","O2 Sensor Voltage B1S2","O2 Sensor fuel trim B1S2","OBD conforme a","Tempo dall'avvio del motore","Distance since MIL activated","Commanded EGR","Commanded Evaporative Purge","Warm-ups since ECU reset","Distance since ECU reset","Barometric Pressure (absolute)","ECU voltage","Absolute Engine Load","Relative Throttle Position",
    2024-03-13 18:31:43.150,0.0,0.0,1.0,1.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,2.0,0.0,29.80392074584961,78.0,-1.5625,-3.125,35.0,831.5,1.0,14.5,40.0,2.240000009536743,16.86274528503418,3.0,300.0,0.78125,1275.0,99.21875,6.0,0.003611111082136631,0.0,17.647058486938477,3.9215686321258545,255.0,11605.0,96.0,13.866999626159668,21.568628311157227,7.843137264251709,
    2024-03-13 18:31:46.232,0.0,0.0,1.0,1.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,2.0,0.0,29.80392074584961,78.0,0.0,-3.125,36.0,831.5,1.0,14.5,40.0,2.240000009536743,16.86274528503418,3.0,300.0,0.78125,1275.0,99.21875,6.0,0.003611111082136631,0.0,17.647058486938477,3.9215686321258545,255.0,11605.0,96.0,13.866999626159668,21.568628311157227,7.843137264251709,
    2024-03-13 18:31:48.153,0.0,0.0,1.0,1.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,2.0,0.0,29.80392074584961,78.0,-0.78125,-3.125,35.0,763.5,1.0,12.0,40.0,2.1500000953674316,16.86274528503418,3.0,330.0,0.78125,1275.0,99.21875,6.0,0.003611111082136631,0.0,17.647058486938477,3.9215686321258545,255.0,11605.0,96.0,13.866999626159668,21.568628311157227,7.843137264251709,
    2024-03-13 18:31:50.332,0.0,0.0,1.0,1.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,2.0,0.0,30.19607925415039,78.0,-1.5625,-3.125,37.0,736.75,1.0,13.5,40.0,2.0999999046325684,16.86274528503418,3.0,220.0,0.78125,1275.0,99.21875,6.0,0.003611111082136631,0.0,17.647058486938477,3.9215686321258545,255.0,11605.0,96.0,13.847999572753906,21.568628311157227,7.843137264251709,
    2024-03-13 18:31:52.362,0.0,0.0,1.0,1.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,2.0,0.0,30.19607925415039,78.0,-1.5625,-3.125,36.0,723.75,1.0,11.0,40.0,1.9600000381469727,16.86274528503418,3.0,370.0,0.78125,1275.0,99.21875,6.0,0.003611111082136631,0.0,17.647058486938477,3.9215686321258545,255.0,11605.0,96.0,13.82800006866455,21.960784912109375,7.843137264251709,
    2024-03-13 18:31:54.420,0.0,0.0,1.0,1.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,2.0,0.0,29.80392074584961,78.0,0.0,-3.125,36.0,716.25,1.0,10.0,40.0,1.940000057220459,16.86274528503418,3.0,450.0,0.78125,1275.0,99.21875,6.0,0.003611111082136631,0.0,17.647058486938477,3.9215686321258545,255.0,11605.0,96.0,13.88700008392334,21.568628311157227,7.843137264251709,
    2024-03-13 18:31:56.622,0.0,0.0,1.0,1.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,2.0,0.0,29.80392074584961,77.0,0.78125,-3.125,35.0,704.75,1.0,9.5,39.0,1.9199999570846558,16.86274528503418,3.0,495.0,1.5625,1275.0,99.21875,6.0,0.003611111082136631,0.0,17.647058486938477,3.9215686321258545,255.0,11605.0,96.0,13.88700008392334,21.568628311157227,7.843137264251709,
    2024-03-13 18:31:59.318,0.0,0.0,1.0,1.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,2.0,0.0,29.41176414489746,77.0,-0.78125,-3.125,36.0,714.25,1.0,9.5,39.0,1.940000057220459,16.86274528503418,3.0,285.0,0.78125,1275.0,99.21875,6.0,0.007222222164273262,0.0,17.647058486938477,3.9215686321258545,255.0,11605.0,96.0,13.866999626159668,21.176469802856445,7.843137264251709,
    2024-03-13 18:32:01.499,0.0,0.0,1.0,1.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,2.0,0.0,29.019607543945312,77.0,-0.78125,-3.125,35.0,707.0,1.0,11.0,39.0,1.9800000190734863,16.86274528503418,3.0,125.0,0.78125,1275.0,99.21875,6.0,0.007222222164273262,0.0,17.647058486938477,3.9215686321258545,255.0,11605.0,96.0,13.906000137329102,21.176469802856445,7.843137264251709,
    2024-03-13 18:32:03.412,0.0,0.0,1.0,1.0,1.0,0.0,256.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,2.0,0.0,29.41176414489746,77.0,1.5625,-3.125,35.0,700.0,1.0,10.5,39.0,1.9199999570846558,16.86274528503418,3.0,100.0,0.78125,1275.0,99.21875,6.0,0.007222222164273262,0.0,17.647058486938477,3.9215686321258545,255.0,11605.0,96.0,13.906000137329102,21.568628311157227,7.843137264251709,
